d_date,fajr_begins,fajr_jamah,sunrise,zuhr_begins,zuhr_jamah,asr_mithl_1,asr_mithl_2,asr_jamah,maghrib_begins,maghrib_jamah,isha_begins,isha_jamah,is_ramadan,hijri_date
2019-02-28,05:09:00,05:46:00,06:46:00,12:18:00,12:45:00,15:03:00,15:03:00,16:00:00,17:41:00,17:46:00,19:08:00,19:30:00,0,0
2019-03-01,05:06:00,05:43:00,06:43:00,12:18:00,12:30:00,15:04:00,15:04:00,16:00:00,17:43:00,17:48:00,19:09:00,19:45:00,0,0
2019-03-02,05:04:00,05:41:00,06:41:00,12:18:00,12:45:00,15:05:00,15:05:00,16:00:00,17:45:00,17:50:00,19:11:00,19:45:00,0,0
2019-03-03,05:02:00,05:39:00,06:39:00,12:17:00,12:45:00,15:06:00,15:06:00,16:00:00,17:47:00,17:52:00,19:12:00,19:45:00,0,0
2019-03-04,05:00:00,05:37:00,06:37:00,12:17:00,12:45:00,15:08:00,15:08:00,16:00:00,17:49:00,17:54:00,19:14:00,19:45:00,0,0
2019-03-05,04:58:00,05:35:00,06:35:00,12:17:00,12:45:00,15:09:00,15:09:00,16:00:00,17:50:00,17:55:00,19:14:00,19:45:00,0,0
2019-03-06,04:56:00,05:33:00,06:33:00,12:17:00,12:45:00,15:10:00,15:10:00,16:00:00,17:52:00,17:57:00,19:16:00,19:45:00,0,0
2019-03-07,04:53:00,05:30:00,06:30:00,12:17:00,12:45:00,15:11:00,15:11:00,16:00:00,17:54:00,17:59:00,19:17:00,19:45:00,0,0
2019-03-08,04:51:00,05:28:00,06:28:00,12:16:00,12:30:00,15:12:00,15:12:00,16:30:00,17:55:00,18:00:00,19:18:00,19:45:00,0,0
2019-03-09,04:49:00,05:26:00,06:26:00,12:16:00,12:45:00,15:14:00,15:14:00,16:30:00,17:57:00,18:02:00,19:19:00,19:45:00,0,0
2019-03-10,04:47:00,05:24:00,06:24:00,12:16:00,12:45:00,15:15:00,15:15:00,16:30:00,17:59:00,18:04:00,19:21:00,19:45:00,0,0
2019-03-11,04:44:00,05:21:00,06:21:00,12:16:00,12:45:00,15:16:00,15:16:00,16:30:00,18:01:00,18:06:00,19:23:00,19:45:00,0,0
2019-03-12,04:42:00,05:19:00,06:19:00,12:15:00,12:45:00,15:17:00,15:17:00,16:30:00,18:02:00,18:07:00,19:24:00,19:45:00,0,0
2019-03-13,04:40:00,05:17:00,06:17:00,12:15:00,12:45:00,15:18:00,15:18:00,16:30:00,18:04:00,18:09:00,19:25:00,19:45:00,0,0
2019-03-14,04:38:00,05:15:00,06:15:00,12:15:00,12:45:00,15:19:00,15:19:00,16:30:00,18:06:00,18:11:00,19:27:00,19:45:00,0,0
2019-03-15,04:35:00,05:12:00,06:12:00,12:15:00,12:30:00,15:20:00,15:20:00,16:30:00,18:08:00,18:13:00,19:29:00,20:00:00,0,0
2019-03-16,04:33:00,05:10:00,06:10:00,12:14:00,12:45:00,15:22:00,15:22:00,16:30:00,18:09:00,18:14:00,19:30:00,20:00:00,0,0
